idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
NA,yes,NA,1919793712,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,9.3.3.6,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919793714,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,9.3.3.4,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Giza.,NA,NA,NA,NA
NA,yes,NA,1919794111,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,23.6.4.2,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Luxor.,NA,NA,NA,NA
NA,yes,NA,1919794179,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,23.6.4.1,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Luxor.,NA,NA,NA,NA
NA,yes,NA,1919796950,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,92.9.9.41,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Assuan.,NA,NA,NA,NA
NA,yes,NA,1919796965,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,92.9.9.42,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Assuan.,NA,NA,NA,NA
NA,yes,NA,1919796990,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,92.9.9.40,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Assuan.,NA,NA,NA,NA
NA,yes,NA,1919796995,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,92.9.9.38,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Asuan.,NA,NA,NA,NA
NA,yes,NA,1919796998,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,92.9.9.45,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Beni Hassan.,NA,NA,NA,NA
NA,yes,NA,1919797020,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,92.9.9.39,NA,"Rhinopoma microphyllum (Brünnich, 1782)",egypt,NA,NA,NA,Assuan.,NA,NA,NA,NA
NA,yes,NA,1919798355,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1892.9.9.38-42,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Assuan.,NA,NA,NA,NA
NA,yes,NA,1919799997,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1902.1.17.1,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Luxor.,NA,NA,NA,NA
NA,yes,NA,1919800644,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1904.11.3.10,NA,"Rhinopoma hardwickii Gray, 1831",egypt,NA,NA,NA,Merowe.,NA,NA,NA,NA
